timestamp,vibration_level,temperature_C,pressure_PSI,flow_rate_m3h,failure
2024-01-01 00:00:00,0.307,56.032,106.001,61.854,0
2024-01-01 01:00:00,0.256,69.576,88.645,46.268,0
2024-01-01 02:00:00,0.837,72.503,88.55,41.377,1
2024-01-01 03:00:00,0.294,73.702,120.679,57.586,1
2024-01-01 04:00:00,0.186,72.162,90.867,40.657,0
2024-01-01 05:00:00,0.722,68.96,93.297,62.235,0
2024-01-01 06:00:00,0.713,82.973,111.933,61.911,0
2024-01-01 07:00:00,0.268,68.498,103.965,55.367,0
2024-01-01 08:00:00,0.629,57.885,101.362,49.592,0
2024-01-01 09:00:00,0.286,72.403,133.58,47.719,1
2024-01-01 10:00:00,0.329,82.461,116.726,52.845,0
2024-01-01 11:00:00,0.287,82.072,123.997,44.792,1
2024-01-01 12:00:00,0.673,71.795,85.22,56.326,0
2024-01-01 13:00:00,0.854,74.993,80.969,49.2,1
2024-01-01 14:00:00,0.879,64.272,136.643,57.384,1
2024-01-01 15:00:00,0.568,64.609,129.629,63.68,1
2024-01-01 16:00:00,0.801,72.27,117.211,64.373,1
2024-01-01 17:00:00,0.332,68.476,133.759,55.88,1
2024-01-01 18:00:00,0.815,73.846,114.535,57.112,1
2024-01-01 19:00:00,0.486,74.425,95.73,65.546,0
2024-01-01 20:00:00,0.648,55.638,125.938,49.462,1
2024-01-01 21:00:00,0.274,65.477,124.121,47.543,1
2024-01-01 22:00:00,0.451,69.241,105.305,39.002,1
2024-01-01 23:00:00,0.409,84.347,116.333,64.69,0
2024-01-02 00:00:00,0.537,64.495,135.701,64.863,1
2024-01-02 01:00:00,0.394,79.579,132.044,51.87,1
2024-01-02 02:00:00,0.787,62.686,136.185,41.019,1
2024-01-02 03:00:00,0.291,61.233,92.603,44.082,0
2024-01-02 04:00:00,0.589,65.551,76.424,50.111,0
2024-01-02 05:00:00,0.337,55.471,72.317,55.414,0
2024-01-02 06:00:00,0.67,74.629,82.04,60.987,0
2024-01-02 07:00:00,0.537,79.734,107.245,40.702,0
2024-01-02 08:00:00,0.366,85.015,136.397,53.198,1
2024-01-02 09:00:00,0.712,70.759,84.74,54.112,0
2024-01-02 10:00:00,0.82,68.214,99.222,52.575,1
2024-01-02 11:00:00,0.84,82.077,104.626,35.848,1
