timestamp,vibration_level,temperature_C,pressure_PSI,flow_rate_m3h,failure
2024-01-01 00:00:00,0.724,82.192,79.127,49.148,0
2024-01-01 01:00:00,0.44,62.897,106.305,50.583,0
2024-01-01 02:00:00,0.179,79.44,110.584,45.816,0
2024-01-01 03:00:00,0.589,74.04,86.138,58.468,0
2024-01-01 04:00:00,0.306,76.78,84.886,48.29,0
2024-01-01 05:00:00,0.876,76.573,79.526,63.307,0
2024-01-01 06:00:00,0.288,69.083,79.187,62.685,0
2024-01-01 07:00:00,0.478,83.311,75.004,38.922,1
2024-01-01 08:00:00,0.875,63.042,101.98,63.38,0
2024-01-01 09:00:00,0.458,72.583,86.229,38.243,1
2024-01-01 10:00:00,0.834,68.818,113.893,64.622,0
2024-01-01 11:00:00,0.184,75.045,104.8,43.033,0
2024-01-01 12:00:00,0.326,77.989,85.54,59.258,0
2024-01-01 13:00:00,0.637,74.507,128.56,61.912,0
2024-01-01 14:00:00,0.523,72.361,92.605,47.457,0
2024-01-01 15:00:00,0.506,83.25,99.723,64.655,0
2024-01-01 16:00:00,0.828,60.14,75.208,65.534,0
2024-01-01 17:00:00,0.861,76.081,116.774,64.474,0
2024-01-01 18:00:00,0.656,59.246,83.918,42.54,0
2024-01-01 19:00:00,0.272,57.377,134.013,45.897,1
2024-01-01 20:00:00,0.446,83.484,71.329,42.666,0
2024-01-01 21:00:00,0.448,58.98,118.065,63.044,0
2024-01-01 22:00:00,0.546,63.218,121.453,42.349,1
2024-01-01 23:00:00,0.531,66.038,127.175,46.455,0
2024-01-02 00:00:00,0.428,63.282,88.516,60.584,0
2024-01-02 01:00:00,0.66,85.562,115.055,63.405,0
2024-01-02 02:00:00,0.663,64.216,70.987,39.569,1
2024-01-02 03:00:00,0.344,80.126,108.487,53.52,0
2024-01-02 04:00:00,0.883,73.853,83.763,65.042,0
2024-01-02 05:00:00,0.372,76.726,122.278,48.313,1
2024-01-02 06:00:00,0.575,63.533,72.854,47.091,0
2024-01-02 07:00:00,0.648,58.494,85.334,38.299,1
2024-01-02 08:00:00,0.377,77.34,89.918,41.23,0
2024-01-02 09:00:00,0.661,78.835,70.415,38.054,1
2024-01-02 10:00:00,0.73,61.186,127.943,36.986,1
2024-01-02 11:00:00,0.56,73.959,122.176,37.164,1
2024-01-02 12:00:00,0.409,84.845,130.134,58.121,1
2024-01-02 13:00:00,0.403,72.195,77.781,51.815,0
2024-01-02 14:00:00,0.328,73.888,107.988,51.402,0
2024-01-02 15:00:00,0.571,74.169,75.371,50.132,0
2024-01-02 16:00:00,0.7,70.48,118.045,43.02,0
2024-01-02 17:00:00,0.337,67.383,122.588,59.345,1
2024-01-02 18:00:00,0.684,58.207,86.155,57.356,0
2024-01-02 19:00:00,0.569,58.772,135.253,64.958,0
2024-01-02 20:00:00,0.787,56.552,88.118,56.53,0
2024-01-02 21:00:00,0.31,79.224,102.867,43.727,0
2024-01-02 22:00:00,0.296,57.261,90.302,51.04,0
2024-01-02 23:00:00,0.555,80.428,83.213,44.471,0
2024-01-03 00:00:00,0.498,66.022,83.706,65.934,0
2024-01-03 01:00:00,0.361,84.017,130.782,46.759,1
2024-01-03 02:00:00,0.239,70.173,70.451,35.444,1
2024-01-03 03:00:00,0.575,81.581,94.649,55.264,0
2024-01-03 04:00:00,0.628,56.502,110.199,41.591,0
2024-01-03 05:00:00,0.705,59.026,96.412,49.841,0
2024-01-03 06:00:00,0.857,81.95,133.613,62.587,0
2024-01-03 07:00:00,0.76,82.521,114.636,44.385,0
2024-01-03 08:00:00,0.199,59.936,139.229,48.501,1
2024-01-03 09:00:00,0.82,59.528,122.37,57.717,0
2024-01-03 10:00:00,0.385,73.902,87.831,38.113,1
2024-01-03 11:00:00,0.39,68.611,116.534,39.625,1
2024-01-03 12:00:00,0.487,58.752,87.889,49.06,0
2024-01-03 13:00:00,0.711,71.496,111.974,48.091,0
2024-01-03 14:00:00,0.387,73.164,80.11,44.293,0
2024-01-03 15:00:00,0.68,74.504,78.448,38.961,1
2024-01-03 16:00:00,0.347,57.391,139.094,42.343,1
2024-01-03 17:00:00,0.623,70.054,106.564,43.672,0
2024-01-03 18:00:00,0.557,64.497,117.654,40.18,0
2024-01-03 19:00:00,0.487,57.723,77.619,38.121,1
2024-01-03 20:00:00,0.858,71.189,124.52,38.701,1
2024-01-03 21:00:00,0.767,74.935,117.802,38.156,1
2024-01-03 22:00:00,0.573,80.262,100.946,47.771,0
2024-01-03 23:00:00,0.858,76.275,75.127,56.087,0
2024-01-04 00:00:00,0.819,55.532,89.412,38.396,1
2024-01-04 01:00:00,0.697,76.773,76.658,54.279,0
2024-01-04 02:00:00,0.508,74.944,103.951,59.421,0
2024-01-04 03:00:00,0.368,63.557,76.944,45.874,0
2024-01-04 04:00:00,0.702,79.946,85.411,41.505,0
2024-01-04 05:00:00,0.281,67.721,108.143,61.325,0
2024-01-04 06:00:00,0.535,82.641,101.479,52.57,0
2024-01-04 07:00:00,0.611,63.661,116.333,60.629,0
2024-01-04 08:00:00,0.772,81.577,93.681,36.549,1
2024-01-04 09:00:00,0.297,62.373,115.978,38.772,1
2024-01-04 10:00:00,0.414,66.969,75.859,39.406,1
2024-01-04 11:00:00,0.824,74.276,73.317,60.587,0
2024-01-04 12:00:00,0.561,64.28,127.595,36.218,1
2024-01-04 13:00:00,0.315,78.903,109.432,54.309,0
2024-01-04 14:00:00,0.738,56.717,124.629,38.724,1
2024-01-04 15:00:00,0.19,66.882,113.802,50.611,0
2024-01-04 16:00:00,0.605,67.68,87.454,59.462,0
2024-01-04 17:00:00,0.516,73.202,121.642,63.355,0
2024-01-04 18:00:00,0.765,75.862,119.534,62.657,0
2024-01-04 19:00:00,0.535,81.201,80.187,66.168,0
2024-01-04 20:00:00,0.368,65.796,87.842,46.304,0
2024-01-04 21:00:00,0.877,58.717,103.71,39.155,1
2024-01-04 22:00:00,0.692,77.676,76.997,42.261,0
2024-01-04 23:00:00,0.489,72.931,92.47,57.771,0
2024-01-05 00:00:00,0.738,61.518,130.184,55.375,0
2024-01-05 01:00:00,0.773,83.622,92.667,57.962,0
2024-01-05 02:00:00,0.35,63.561,110.665,44.369,0
2024-01-05 03:00:00,0.306,74.94,112.793,40.529,0
2024-01-05 04:00:00,0.428,79.941,100.031,62.821,0
2024-01-05 05:00:00,0.616,72.436,77.303,48.775,0
2024-01-05 06:00:00,0.25,58.506,128.466,56.975,1
2024-01-05 07:00:00,0.437,82.705,124.839,61.709,1
2024-01-05 08:00:00,0.457,76.627,116.416,38.657,1
2024-01-05 09:00:00,0.264,66.086,97.703,51.322,0
2024-01-05 10:00:00,0.689,76.121,127.317,65.683,0
2024-01-05 11:00:00,0.79,61.442,87.994,51.858,0
2024-01-05 12:00:00,0.876,55.971,130.405,57.212,0
2024-01-05 13:00:00,0.857,67.972,116.987,38.837,1
2024-01-05 14:00:00,0.778,78.028,111.951,62.91,0
2024-01-05 15:00:00,0.66,70.779,134.445,44.48,1
2024-01-05 16:00:00,0.56,84.365,97.473,65.904,0
2024-01-05 17:00:00,0.353,55.311,101.277,64.147,0
2024-01-05 18:00:00,0.574,56.292,138.684,48.316,0
2024-01-05 19:00:00,0.388,85.444,134.829,42.113,1
2024-01-05 20:00:00,0.195,64.95,121.865,53.713,1
2024-01-05 21:00:00,0.87,63.164,84.491,61.304,0
2024-01-05 22:00:00,0.665,77.255,93.476,60.171,0
2024-01-05 23:00:00,0.733,71.368,102.185,40.383,0
2024-01-06 00:00:00,0.482,73.385,70.208,49.917,0
2024-01-06 01:00:00,0.192,73.477,101.477,55.124,0
2024-01-06 02:00:00,0.221,77.912,126.47,39.471,1
2024-01-06 03:00:00,0.513,73.107,95.664,48.862,0
2024-01-06 04:00:00,0.682,56.515,131.209,45.991,1
2024-01-06 05:00:00,0.654,69.781,103.492,59.496,0
2024-01-06 06:00:00,0.456,61.314,125.161,50.117,1
2024-01-06 07:00:00,0.57,60.289,73.121,44.153,0
2024-01-06 08:00:00,0.746,62.746,73.705,47.566,0
2024-01-06 09:00:00,0.833,69.244,92.838,42.001,0
2024-01-06 10:00:00,0.592,70.556,107.177,44.879,0
2024-01-06 11:00:00,0.745,68.828,122.343,54.822,0
2024-01-06 12:00:00,0.424,63.965,122.639,62.959,1
2024-01-06 13:00:00,0.813,73.786,120.809,59.01,0
2024-01-06 14:00:00,0.449,59.388,77.489,60.75,0
2024-01-06 15:00:00,0.524,78.068,85.536,36.391,1
2024-01-06 16:00:00,0.847,81.143,129.386,65.414,0
2024-01-06 17:00:00,0.29,62.981,107.955,40.196,0
2024-01-06 18:00:00,0.859,58.613,126.321,44.552,1
2024-01-06 19:00:00,0.311,78.403,118.982,44.096,1
2024-01-06 20:00:00,0.427,82.216,115.077,57.696,0
2024-01-06 21:00:00,0.697,63.443,108.199,63.197,0
2024-01-06 22:00:00,0.523,55.942,75.407,48.491,0
2024-01-06 23:00:00,0.255,85.737,118.906,41.506,1
2024-01-07 00:00:00,0.702,78.446,100.338,55.625,0
2024-01-07 01:00:00,0.648,73.612,138.63,56.424,0
